StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C2	33.48165147724471	-112.0199628104665	6.69	100	0.112
C3	33.456196772912456	-112.00779848538888	6.29	100	0.105
C5	33.51985590144061	-112.04752438718913	7.79	100	0.130
C6	33.53158725648621	-112.08444951899766	7.64	100	0.127
C1	33.499496947221765	-111.99890265547221	6.76	100	0.113
C2	33.43112745604399	-112.03950941570594	5.91	100	0.097
C3	33.515457276622165	-112.07439997298383	6.32	100	0.105
C4	33.402455939065455	-112.04704789259806	6.63	100	0.111
S2	33.480049689116576	-112.02479295123405	0.0	1	0.0
S3	33.45697926788615	-112.01290706042185	0.0	1	0.0
S5	33.51571937532424	-112.04914268642214	0.0	1	0.0
S6	33.52731601080693	-112.08344720158122	0.0	1	0.0
S1	33.49730684938042	-112.00339281466516	0.0	1	0.0
S2	33.434672057351506	-112.04252304960782	0.0	1	0.0
S3	33.51112269169692	-112.07392292756353	0.0	1	0.0
S4	33.40663796334754	-112.04848836355968	0.0	1	0.0
Tmax=120
