StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.46879774083291	-112.13004137115838	6.87	100	0.115
C2	33.51327710999628	-112.00733788217327	7.11	100	0.119
C3	33.417435349196154	-112.0288051826702	6.03	100	0.101
C4	33.4315147430703	-112.0823807787705	7.66	100	0.128
C5	33.52898705670531	-112.10450597573939	7.31	100	0.122
S1	33.46842425109664	-112.12313054343704	0.0	1	0.0
S2	33.50932341375241	-112.01241023128841	0.0	1	0.0
S3	33.42220017631743	-112.03275725022924	0.0	1	0.0
S4	33.437023957089615	-112.08020257643517	0.0	1	0.0
S5	33.52373055968502	-112.10156796894077	0.0	1	0.0
Tmax=120
