StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	57	48	23	23	0.168
C2	47	16	25	25	0.182
C3	25	24	20	20	0.146
C4	46	13	8	8	0.058
C5	44	17	9	9	0.066
C6	55	5	29	29	0.212
C7	26	27	27	27	0.197
C8	32	12	7	7	0.051
C9	41	37	16	16	0.117
C10	5	5	16	16	0.117
C11	30	60	16	16	0.117
C12	53	12	6	6	0.044
C13	37	56	5	5	0.036
C14	15	77	9	9	0.066
C15	14	37	11	11	0.08
C16	2	48	1	1	0.007
C17	15	60	17	17	0.124
C18	40	60	21	21	0.153
C19	55	60	16	16	0.117
C20	60	12	31	31	0.226
C21	20	40	12	12	0.088
C22	45	20	11	11	0.08
C23	22	27	11	11	0.08
C24	49	73	25	25	0.182
C25	67	5	25	25	0.182
C26	11	14	18	18	0.131
C27	10	20	19	19	0.139
C28	24	12	5	5	0.036
C29	31	67	3	3	0.022
C30	65	55	14	14	0.102
C31	62	77	20	20	0.146
C32	35	40	16	16	0.117
C33	56	37	6	6	0.044
C34	18	18	17	17	0.124
C35	8	56	27	27	0.197
C36	35	69	23	23	0.168
C37	31	52	27	27	0.197
C38	65	20	6	6	0.044
C39	24	58	19	19	0.139
C40	30	25	23	23	0.168
C41	45	65	9	9	0.066
C42	45	10	18	18	0.131
C43	11	31	7	7	0.051
C44	20	26	9	9	0.066
C45	40	25	9	9	0.066
C46	63	65	8	8	0.058
C47	28	18	26	26	0.19
C48	64	42	9	9	0.066
C49	55	45	13	13	0.095
C50	26	52	9	9	0.066
Tmax=137
