StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	15	80	10	10	0.06
C2	25	50	10	10	0.06
C3	23	52	10	10	0.06
C4	53	30	10	10	0.06
C5	5	45	10	10	0.06
C6	18	75	20	20	0.12
C7	34	60	20	20	0.12
C8	32	20	10	10	0.06
C9	66	55	10	10	0.06
C10	58	70	20	20	0.12
C11	60	66	10	10	0.06
C12	28	52	20	20	0.12
C13	35	32	10	10	0.06
C14	8	40	40	40	0.24
C15	38	5	30	30	0.18
C16	26	32	10	10	0.06
C17	45	65	20	20	0.12
C18	33	35	10	10	0.06
C19	8	45	20	20	0.12
C20	60	60	10	10	0.06
C21	42	30	10	10	0.06
C22	50	35	20	20	0.12
C23	25	35	10	10	0.06
C24	45	35	10	10	0.06
C25	14	66	10	10	0.06
C26	48	20	10	10	0.06
C27	56	64	10	10	0.06
C28	40	5	30	30	0.18
C29	78	40	20	20	0.12
C30	62	80	30	30	0.18
C31	85	25	10	10	0.06
C32	30	56	20	20	0.12
C33	60	55	10	10	0.06
C34	64	46	20	20	0.12
C35	22	75	30	30	0.18
C36	30	35	10	10	0.06
C37	60	85	30	30	0.18
C38	85	35	30	30	0.18
C39	10	35	20	20	0.12
C40	92	30	10	10	0.06
C41	90	35	10	10	0.06
C42	86	46	30	30	0.18
C43	44	25	10	10	0.06
C44	42	15	10	10	0.06
C45	30	30	10	10	0.06
C46	35	66	10	10	0.06
C47	42	65	10	10	0.06
C48	50	40	50	50	0.299
C49	72	55	10	10	0.06
C50	72	45	10	10	0.06
Tmax=167
