StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	6	68	30	30	0.219
C2	45	65	9	9	0.066
C3	11	31	7	7	0.051
C4	10	20	19	19	0.139
C5	30	25	23	23	0.168
C6	21	24	28	28	0.204
C7	56	37	6	6	0.044
C8	35	17	7	7	0.051
C9	20	40	12	12	0.088
C10	15	19	1	1	0.007
C11	10	43	9	9	0.066
C12	65	55	14	14	0.102
C13	2	60	5	5	0.036
C14	55	20	19	19	0.139
C15	31	67	3	3	0.022
C16	56	39	36	36	0.263
C17	15	10	20	20	0.146
C18	55	54	26	26	0.19
C19	8	56	27	27	0.197
C20	49	11	18	18	0.131
C21	15	60	17	17	0.124
C22	15	77	9	9	0.066
C23	20	65	12	12	0.088
C24	35	69	23	23	0.168
C25	45	10	18	18	0.131
C26	6	38	16	16	0.117
C27	65	35	3	3	0.022
C28	50	35	19	19	0.139
C29	53	43	14	14	0.102
C30	26	35	15	15	0.109
C31	37	31	14	14	0.102
C32	20	26	9	9	0.066
C33	57	48	23	23	0.168
C34	53	12	6	6	0.044
C35	44	17	9	9	0.066
C36	16	22	41	41	0.299
C37	5	5	16	16	0.117
C38	25	30	3	3	0.022
C39	18	24	22	22	0.161
C40	49	58	10	10	0.073
C41	30	5	8	8	0.058
C42	23	3	7	7	0.051
C43	20	50	5	5	0.036
C44	26	27	27	27	0.197
C45	61	52	3	3	0.022
C46	40	60	21	21	0.153
C47	49	42	13	13	0.095
C48	37	47	6	6	0.044
C49	15	47	16	16	0.117
C50	20	20	8	8	0.058
Tmax=137
