StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	62	80	30	30	0.169
C2	92	30	10	10	0.056
C3	65	20	6	6	0.034
C4	44	5	20	20	0.113
C5	41	37	16	16	0.09
C6	2	60	5	5	0.028
C7	23	3	7	7	0.04
C8	49	58	10	10	0.056
C9	38	5	30	30	0.169
C10	95	35	20	20	0.113
C11	21	24	28	28	0.158
C12	88	35	20	20	0.113
C13	15	75	20	20	0.113
C14	85	35	30	30	0.169
C15	40	5	10	10	0.056
C16	10	20	19	19	0.107
C17	15	10	20	20	0.113
C18	5	5	16	16	0.09
C19	26	35	15	15	0.085
C20	57	48	23	23	0.13
C21	57	29	18	18	0.102
C22	26	52	9	9	0.051
C23	65	85	40	40	0.226
C24	15	60	17	17	0.096
C25	24	58	19	19	0.107
C26	47	47	13	13	0.073
C27	37	31	14	14	0.079
C28	6	68	30	30	0.169
C29	10	40	30	30	0.169
C30	55	80	10	10	0.056
C31	35	69	23	23	0.13
C32	55	82	10	10	0.056
C33	30	25	23	23	0.13
C34	60	80	10	10	0.056
C35	35	5	20	20	0.113
C36	2	45	10	10	0.056
C37	0	40	20	20	0.113
C38	55	85	20	20	0.113
C39	56	37	6	6	0.034
C40	20	85	20	20	0.113
C41	40	15	40	40	0.226
C42	45	65	9	9	0.051
C43	95	30	30	30	0.169
C44	20	82	10	10	0.056
C45	67	85	20	20	0.113
C46	20	80	40	40	0.226
C47	63	23	2	2	0.011
C48	40	60	21	21	0.119
C49	8	56	27	27	0.153
C50	64	42	9	9	0.051
Tmax=177
