StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	11	14	18	18	0.142
C2	40	25	9	9	0.071
C3	37	56	5	5	0.039
C4	25	30	3	3	0.024
C5	45	10	18	18	0.142
C6	57	48	23	23	0.181
C7	26	35	15	15	0.118
C8	24	58	19	19	0.15
C9	36	26	18	18	0.142
C10	41	37	16	16	0.126
C11	55	60	16	16	0.126
C12	30	60	16	16	0.126
C13	17	34	3	3	0.024
C14	6	68	30	30	0.236
C15	10	43	9	9	0.071
C16	49	42	13	13	0.102
C17	63	65	8	8	0.063
C18	57	68	15	15	0.118
C19	56	39	36	36	0.283
C20	13	52	36	36	0.283
C21	20	26	9	9	0.071
C22	15	30	26	26	0.205
C23	35	69	23	23	0.181
C24	23	3	7	7	0.055
C25	55	5	29	29	0.228
C26	15	19	1	1	0.008
C27	19	21	10	10	0.079
C28	31	67	3	3	0.024
C29	35	17	7	7	0.055
C30	20	50	5	5	0.039
C31	25	21	12	12	0.094
C32	15	10	20	20	0.157
C33	67	5	25	25	0.197
C34	53	52	11	11	0.087
C35	63	23	2	2	0.016
C36	53	12	6	6	0.047
C37	20	40	12	12	0.094
C38	22	22	2	2	0.016
C39	37	47	6	6	0.047
C40	8	56	27	27	0.213
C41	45	65	9	9	0.071
C42	18	24	22	22	0.173
C43	64	42	9	9	0.071
C44	30	5	8	8	0.063
C45	20	65	12	12	0.094
C46	50	35	19	19	0.15
C47	56	37	6	6	0.047
C48	21	24	28	28	0.22
C49	22	27	11	11	0.087
C50	65	35	3	3	0.024
Tmax=127
