StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.439341607690125	-111.99123845698162	5.95	100	0.099
C2	33.4314571425501	-112.02189812541152	7.4	100	0.123
C3	33.50118063728314	-112.02069228897129	7.77	100	0.13
C4	33.51996432692685	-112.10228319347944	7.04	100	0.117
C5	33.42423280156935	-112.0980322537965	6.43	100	0.107
S1	33.44097264288885	-111.99605239496721	0.0	1	0.0
S2	33.43431182282629	-112.02581759533581	0.0	1	0.0
S3	33.49829107264317	-112.02457817512762	0.0	1	0.0
S4	33.51608910911906	-112.09991616259694	0.0	1	0.0
S5	33.42798291985344	-112.09539627571932	0.0	1	0.0
Tmax=120
