StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.423844787681105	-112.08999259083299	6.93	100	0.115
C2	33.435553928632466	-112.09178058989845	6.13	100	0.102
C3	33.43436016638924	-112.11161774652379	6.1	100	0.102
C4	33.49865673099899	-112.10390836429289	6.47	100	0.108
S1	33.42919044677716	-112.08729650371784	0.0	1	0.0
S2	33.44044671629264	-112.08805673988252	0.0	1	0.0
S3	33.43817816032668	-112.10640379663886	0.0	1	0.0
S4	33.494302391640126	-112.09932816432529	0.0	1	0.0
Tmax=120
