StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C2	33.51327710999628	-112.00733788217327	7.11	100	0.119
C1	33.51036013496681	-112.01601910989888	7.74	100	0.129
C2	33.460781133444165	-111.98397659597443	6.97	100	0.116
C3	33.476416877850305	-112.10229364157328	6.28	100	0.105
C4	33.474181460094485	-112.10896661934075	6.72	100	0.112
C5	33.485992213390226	-112.14230654020946	7.61	100	0.127
C6	33.483832742629296	-112.10508937041918	7.71	100	0.129
C7	33.509760724160095	-112.09655533313392	7.63	100	0.127
C8	33.42119323458675	-112.02735439886922	7.57	100	0.126
S2	33.50932341375241	-112.01241023128841	0.0	1	0.0
S1	33.50622117705778	-112.02087612005589	0.0	1	0.0
S2	33.46116866708495	-111.99088571693707	0.0	1	0.0
S3	33.47430000506821	-112.09584500573027	0.0	1	0.0
S4	33.472723037107784	-112.10226326258052	0.0	1	0.0
S5	33.48415197178018	-112.13573743091155	0.0	1	0.0
S6	33.48082132838506	-112.0991683532623	0.0	1	0.0
S7	33.50461472381808	-112.09335123989365	0.0	1	0.0
S8	33.425765656657944	-112.03161762418344	0.0	1	0.0
Tmax=120
