StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	35	69	23	23	0.135
C2	8	56	27	27	0.159
C3	85	35	30	30	0.176
C4	88	30	10	10	0.059
C5	63	23	2	2	0.012
C6	47	47	13	13	0.076
C7	10	35	20	20	0.118
C8	20	85	20	20	0.118
C9	55	80	10	10	0.059
C10	62	80	30	30	0.176
C11	85	25	10	10	0.059
C12	90	35	10	10	0.059
C13	58	75	20	20	0.118
C14	42	15	10	10	0.059
C15	72	35	30	30	0.176
C16	20	80	40	40	0.235
C17	44	5	20	20	0.118
C18	40	60	21	21	0.124
C19	4	18	35	35	0.206
C20	2	60	5	5	0.029
C21	57	29	18	18	0.106
C22	65	20	6	6	0.035
C23	21	24	28	28	0.165
C24	40	15	40	40	0.235
C25	60	85	30	30	0.176
C26	15	75	20	20	0.118
C27	60	12	31	31	0.182
C28	67	85	20	20	0.118
C29	8	40	40	40	0.235
C30	0	40	20	20	0.118
C31	10	20	19	19	0.112
C32	42	5	10	10	0.059
C33	38	5	30	30	0.176
C34	40	5	10	10	0.059
C35	5	45	10	10	0.059
C36	15	80	10	10	0.059
C37	24	58	19	19	0.112
C38	0	45	20	20	0.118
C39	26	52	9	9	0.053
C40	55	54	26	26	0.153
Tmax=170
