StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	62	40	10	10	0.061
C2	42	30	10	10	0.061
C3	55	80	10	10	0.061
C4	58	75	20	20	0.121
C5	20	80	40	40	0.242
C6	23	52	10	10	0.061
C7	33	32	20	20	0.121
C8	90	35	10	10	0.061
C9	60	60	10	10	0.061
C10	60	85	30	30	0.182
C11	20	50	10	10	0.061
C12	38	15	40	40	0.242
C13	92	30	10	10	0.061
C14	0	40	30	30	0.182
C15	48	30	10	10	0.061
C16	0	45	20	20	0.121
C17	22	75	30	30	0.182
C18	36	40	10	10	0.061
C19	22	85	10	10	0.061
C20	85	25	10	10	0.061
C21	8	45	20	20	0.121
C22	15	80	10	10	0.061
C23	64	46	20	20	0.121
C24	78	40	20	20	0.121
C25	30	35	10	10	0.061
C26	25	50	10	10	0.061
C27	30	56	20	20	0.121
C28	35	66	10	10	0.061
C29	4	55	20	20	0.121
C30	42	58	40	40	0.242
C31	72	55	10	10	0.061
C32	67	85	20	20	0.121
C33	86	46	30	30	0.182
C34	14	66	10	10	0.061
C35	10	35	20	20	0.121
C36	95	30	30	30	0.182
C37	33	35	10	10	0.061
C38	66	55	10	10	0.061
C39	60	55	10	10	0.061
C40	85	35	30	30	0.182
Tmax=165
