StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	22	85	10	10	0.057
C2	95	35	20	20	0.114
C3	15	80	10	10	0.057
C4	45	65	9	9	0.051
C5	40	15	40	40	0.229
C6	6	68	30	30	0.171
C7	60	80	10	10	0.057
C8	55	85	20	20	0.114
C9	87	30	10	10	0.057
C10	20	20	8	8	0.046
C11	61	52	3	3	0.017
C12	65	35	3	3	0.017
C13	67	85	20	20	0.114
C14	85	35	30	30	0.171
C15	35	69	23	23	0.131
C16	12	24	13	13	0.074
C17	27	43	9	9	0.051
C18	67	5	25	25	0.143
C19	88	30	10	10	0.057
C20	60	12	31	31	0.177
C21	65	55	14	14	0.08
C22	63	65	8	8	0.046
C23	44	5	20	20	0.114
C24	65	20	6	6	0.034
C25	65	82	10	10	0.057
C26	2	40	20	20	0.114
C27	10	40	30	30	0.171
C28	57	29	18	18	0.103
C29	90	35	10	10	0.057
C30	55	54	26	26	0.149
C31	40	60	21	21	0.12
C32	55	60	16	16	0.091
C33	18	75	20	20	0.114
C34	40	5	10	10	0.057
C35	0	40	20	20	0.114
C36	92	30	10	10	0.057
C37	30	60	16	16	0.091
C38	15	75	20	20	0.114
C39	2	60	5	5	0.029
C40	5	5	16	16	0.091
Tmax=175
