StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	0	45	20	20	0.118
C2	55	80	10	10	0.059
C3	85	25	10	10	0.059
C4	72	35	30	30	0.176
C5	40	5	10	10	0.059
C6	57	48	23	23	0.135
C7	23	3	7	7	0.041
C8	38	15	10	10	0.059
C9	20	85	20	20	0.118
C10	12	24	13	13	0.076
C11	25	30	3	3	0.018
C12	22	85	10	10	0.059
C13	60	85	30	30	0.176
C14	56	37	6	6	0.035
C15	64	42	9	9	0.053
C16	8	56	27	27	0.159
C17	24	58	19	19	0.112
C18	41	37	16	16	0.094
C19	37	47	6	6	0.035
C20	20	82	10	10	0.059
C21	63	23	2	2	0.012
C22	8	40	40	40	0.235
C23	44	5	20	20	0.118
C24	65	20	6	6	0.035
C25	37	31	14	14	0.082
C26	67	5	25	25	0.147
C27	15	10	20	20	0.118
C28	88	30	10	10	0.059
C29	55	82	10	10	0.059
C30	21	24	28	28	0.165
C31	58	75	20	20	0.118
C32	31	67	3	3	0.018
C33	26	35	15	15	0.088
C34	22	75	30	30	0.176
C35	20	50	5	5	0.029
C36	35	69	23	23	0.135
C37	38	5	30	30	0.176
C38	15	60	17	17	0.1
C39	4	18	35	35	0.206
C40	65	85	40	40	0.235
Tmax=170
