StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	24	58	19	19	0.143
C2	20	50	5	5	0.038
C3	30	60	16	16	0.12
C4	62	77	20	20	0.15
C5	55	54	26	26	0.195
C6	35	40	16	16	0.12
C7	67	5	25	25	0.188
C8	60	12	31	31	0.233
C9	56	37	6	6	0.045
C10	37	47	6	6	0.045
C11	46	13	8	8	0.06
C12	10	20	19	19	0.143
C13	55	60	16	16	0.12
C14	50	35	19	19	0.143
C15	49	42	13	13	0.098
C16	57	68	15	15	0.113
C17	35	69	23	23	0.173
C18	63	65	8	8	0.06
C19	64	42	9	9	0.068
C20	6	38	16	16	0.12
C21	31	67	3	3	0.023
C22	21	24	28	28	0.211
C23	47	47	13	13	0.098
C24	20	20	8	8	0.06
C25	37	56	5	5	0.038
C26	31	52	27	27	0.203
C27	26	52	9	9	0.068
C28	49	73	25	25	0.188
C29	24	12	5	5	0.038
C30	16	22	41	41	0.308
C31	15	19	1	1	0.008
C32	45	30	17	17	0.128
C33	32	12	7	7	0.053
C34	45	20	11	11	0.083
C35	63	23	2	2	0.015
C36	15	10	20	20	0.15
C37	65	20	6	6	0.045
C38	26	27	27	27	0.203
C39	56	39	36	36	0.271
C40	30	5	8	8	0.06
Tmax=133
