StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C5	33.43231618781517	-112.08478441839414	6.12	100	0.102
C6	33.53011556177991	-112.08872408411497	7.46	100	0.124
C1	33.417663165332414	-112.08451988049042	6.53	100	0.109
C2	33.45882324752114	-112.00693191726536	7.23	100	0.121
S5	33.437705208662656	-112.08221380985735	0.0	1	0.0
S6	33.524493198359856	-112.08700425531013	0.0	1	0.0
S1	33.42326258337063	-112.08269826618825	0.0	1	0.0
S2	33.459567820436995	-112.01379913456805	0.0	1	0.0
Tmax=120
