StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.47226029298291	-112.11107823908632	7.56	100	0.126
C2	33.42818622090081	-112.11100253796386	6.1	100	0.102
C3	33.5118908094633	-112.13203911191331	7.74	100	0.129
C4	33.51438736912066	-112.1227340701549	5.84	100	0.097
S1	33.47143943232177	-112.10597734687636	0.0	1	0.0
S2	33.43135517010846	-112.10744324891431	0.0	1	0.0
S3	33.509014583534665	-112.12813867719211	0.0	1	0.0
S4	33.51118241256886	-112.11921764337141	0.0	1	0.0
Tmax=120
