StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	10	20	19	19	0.11
C2	57	29	18	18	0.104
C3	85	35	30	30	0.173
C4	38	5	30	30	0.173
C5	30	60	16	16	0.092
C6	15	80	10	10	0.058
C7	8	56	27	27	0.156
C8	6	68	30	30	0.173
C9	60	85	30	30	0.173
C10	2	45	10	10	0.058
C11	37	47	6	6	0.035
C12	40	15	40	40	0.231
C13	55	82	10	10	0.058
C14	95	30	30	30	0.173
C15	4	18	35	35	0.202
C16	87	30	10	10	0.058
C17	95	35	20	20	0.116
C18	44	5	20	20	0.116
C19	15	75	20	20	0.116
C20	64	42	9	9	0.052
C21	8	40	40	40	0.231
C22	47	47	13	13	0.075
C23	8	45	20	20	0.116
C24	55	20	19	19	0.11
C25	57	48	23	23	0.133
C26	56	37	6	6	0.035
C27	21	24	28	28	0.162
C28	67	85	20	20	0.116
C29	24	58	19	19	0.11
C30	45	30	17	17	0.098
Tmax=173
