StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	0	45	20	20	0.117
C2	64	42	9	9	0.053
C3	31	52	27	27	0.158
C4	35	69	23	23	0.135
C5	15	75	20	20	0.117
C6	38	5	30	30	0.175
C7	40	60	21	21	0.123
C8	35	5	20	20	0.117
C9	65	35	3	3	0.018
C10	37	47	6	6	0.035
C11	8	56	27	27	0.158
C12	8	40	40	40	0.234
C13	55	82	10	10	0.058
C14	87	30	10	10	0.058
C15	20	82	10	10	0.058
C16	26	52	9	9	0.053
C17	47	47	13	13	0.076
C18	22	75	30	30	0.175
C19	63	23	2	2	0.012
C20	92	30	10	10	0.058
C21	2	45	10	10	0.058
C22	58	75	20	20	0.117
C23	45	65	9	9	0.053
C24	65	82	10	10	0.058
C25	8	45	20	20	0.117
C26	21	24	28	28	0.164
C27	56	37	6	6	0.035
C28	23	3	7	7	0.041
C29	90	35	10	10	0.058
C30	26	35	15	15	0.088
Tmax=171
