StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	65	35	3	3	0.023
C2	55	54	26	26	0.197
C3	30	5	8	8	0.061
C4	11	14	18	18	0.136
C5	17	34	3	3	0.023
C6	15	60	17	17	0.129
C7	27	69	10	10	0.076
C8	6	38	16	16	0.121
C9	65	55	14	14	0.106
C10	47	16	25	25	0.189
C11	13	52	36	36	0.273
C12	62	77	20	20	0.152
C13	40	60	21	21	0.159
C14	31	52	27	27	0.205
C15	63	23	2	2	0.015
C16	5	5	16	16	0.121
C17	6	68	30	30	0.227
C18	46	13	8	8	0.061
C19	31	67	3	3	0.023
C20	8	56	27	27	0.205
C21	37	31	14	14	0.106
C22	30	60	16	16	0.121
C23	21	24	28	28	0.212
C24	10	20	19	19	0.144
C25	26	35	15	15	0.114
C26	10	43	9	9	0.068
C27	20	40	12	12	0.091
C28	24	12	5	5	0.038
C29	55	20	19	19	0.144
C30	15	47	16	16	0.121
Tmax=132
