StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	49	73	25	25	0.185
C2	15	10	20	20	0.148
C3	37	31	14	14	0.104
C4	55	20	19	19	0.141
C5	27	69	10	10	0.074
C6	15	30	26	26	0.193
C7	5	5	16	16	0.119
C8	35	17	7	7	0.052
C9	15	77	9	9	0.067
C10	11	31	7	7	0.052
C11	57	29	18	18	0.133
C12	4	18	35	35	0.259
C13	20	20	8	8	0.059
C14	47	16	25	25	0.185
C15	30	60	16	16	0.119
C16	63	23	2	2	0.015
C17	55	60	16	16	0.119
C18	56	39	36	36	0.267
C19	45	10	18	18	0.133
C20	13	52	36	36	0.267
C21	18	18	17	17	0.126
C22	65	20	6	6	0.044
C23	55	45	13	13	0.096
C24	2	48	1	1	0.007
C25	20	26	9	9	0.067
C26	24	58	19	19	0.141
C27	62	77	20	20	0.148
C28	55	54	26	26	0.193
C29	15	47	16	16	0.119
C30	63	65	8	8	0.059
Tmax=135
