StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	20	20	8	8	0.069
C2	55	45	13	13	0.112
C3	61	52	3	3	0.026
C4	20	50	5	5	0.043
C5	15	19	1	1	0.009
C6	30	25	23	23	0.198
C7	31	67	3	3	0.026
C8	18	18	17	17	0.147
C9	45	20	11	11	0.095
C10	11	31	7	7	0.06
C11	27	69	10	10	0.086
C12	11	14	18	18	0.155
C13	56	39	36	36	0.31
C14	8	56	27	27	0.233
C15	55	60	16	16	0.138
C16	26	27	27	27	0.233
C17	21	24	28	28	0.241
C18	4	18	35	35	0.302
C19	15	60	17	17	0.147
C20	31	52	27	27	0.233
C21	22	22	2	2	0.017
C22	15	10	20	20	0.172
C23	49	11	18	18	0.155
C24	36	26	18	18	0.155
C25	24	12	5	5	0.043
C26	53	43	14	14	0.121
C27	57	48	23	23	0.198
C28	47	16	25	25	0.216
C29	32	12	7	7	0.06
C30	37	47	6	6	0.052
Tmax=116
