StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	23	3	7	7	0.04
C2	42	5	10	10	0.057
C3	50	35	19	19	0.109
C4	45	65	9	9	0.051
C5	31	67	3	3	0.017
C6	20	85	20	20	0.114
C7	30	25	23	23	0.131
C8	20	80	40	40	0.229
C9	26	35	15	15	0.086
C10	55	60	16	16	0.091
C11	57	29	18	18	0.103
C12	55	80	10	10	0.057
C13	58	75	20	20	0.114
C14	55	20	19	19	0.109
C15	20	50	5	5	0.029
C16	92	30	10	10	0.057
C17	22	75	30	30	0.171
C18	60	80	10	10	0.057
C19	47	47	13	13	0.074
C20	65	85	40	40	0.229
C21	95	35	20	20	0.114
C22	90	35	10	10	0.057
C23	61	52	3	3	0.017
C24	12	24	13	13	0.074
C25	38	15	10	10	0.057
C26	2	40	20	20	0.114
C27	41	37	16	16	0.091
C28	55	85	20	20	0.114
C29	30	60	16	16	0.091
C30	21	24	28	28	0.16
Tmax=175
