StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	95	35	20	20	0.114
C2	50	40	50	50	0.286
C3	90	35	10	10	0.057
C4	42	10	40	40	0.229
C5	85	25	10	10	0.057
C6	33	32	20	20	0.114
C7	4	55	20	20	0.114
C8	65	82	10	10	0.057
C9	58	75	20	20	0.114
C10	20	50	10	10	0.057
C11	8	62	10	10	0.057
C12	33	35	10	10	0.057
C13	56	64	10	10	0.057
C14	66	55	10	10	0.057
C15	64	46	20	20	0.114
C16	45	65	20	20	0.114
C17	25	85	20	20	0.114
C18	0	45	20	20	0.114
C19	18	75	20	20	0.114
C20	28	70	10	10	0.057
C21	20	85	40	40	0.229
C22	65	60	30	30	0.171
C23	72	55	10	10	0.057
C24	38	5	30	30	0.171
C25	22	75	30	30	0.171
C26	86	46	30	30	0.171
C27	25	30	10	10	0.057
C28	30	50	10	10	0.057
C29	47	35	10	10	0.057
C30	87	30	10	10	0.057
Tmax=175
