StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.42812884965266	-112.09489761560748	6.67	100	0.111
C2	33.43566950154327	-112.01941724826227	6.69	100	0.112
C3	33.4929973253575	-112.08003698620381	7.72	100	0.129
C4	33.52375555054225	-112.03353322272133	7.18	100	0.12
S1	33.43189291628266	-112.09228995456162	0.0	1	0.0
S2	33.43822002826082	-112.02362467747353	0.0	1	0.0
S3	33.48887410565476	-112.0783714411907	0.0	1	0.0
S4	33.51987170208027	-112.03588010192976	0.0	1	0.0
Tmax=120
