StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C5	33.525695714075795	-112.03637192629867	6.32	100	0.105
C1	33.450529788245746	-112.09990562196718	7.76	100	0.129
C2	33.413637681910465	-112.04183921998784	7.33	100	0.122
C3	33.41077128555599	-112.01723100483258	6.2	100	0.103
C4	33.473923207995185	-112.1042488161888	7.37	100	0.123
C5	33.432291863403215	-112.07907574403353	7.24	100	0.121
S5	33.5204038855944	-112.039217978294	0.0	1	0.0
S1	33.45343521497046	-112.0939117420241	0.0	1	0.0
S2	33.41896002974136	-112.04459982322427	0.0	1	0.0
S3	33.41533179286622	-112.0215118416901	0.0	1	0.0
S4	33.47232968966181	-112.09758941589087	0.0	1	0.0
S5	33.4379142779439	-112.07735758420674	0.0	1	0.0
Tmax=120
