StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.53670188772782	-112.07132457213123	6.9	100	0.115
C2	33.50117660428557	-112.00635133756788	6.38	100	0.106
C3	33.402575473840265	-112.10961266200634	6.87	100	0.115
C4	33.52579481634675	-112.04184470305191	6.96	100	0.116
C5	33.49878712788361	-112.12167039655573	6.1	100	0.102
C6	33.52798301634406	-112.02778798108527	6.16	100	0.103
S1	33.53235072329393	-112.07117568104717	0.0	1	0.0
S2	33.49871953554326	-112.01064023834131	0.0	1	0.0
S3	33.406405675952506	-112.10714646779115	0.0	1	0.0
S4	33.521717677900135	-112.04366529336616	0.0	1	0.0
S5	33.496162588118736	-112.11752537011633	0.0	1	0.0
S6	33.52416662728646	-112.03028775553163	0.0	1	0.0
Tmax=120
