0.00	8476.00	5270.00	7240.00	7192.00	8079.00	9231.00	7638.00	6767.00	8879.00	7932.00	4862.00	6919.00	6844.00	7553.00	7923.00	7162.00	6135.00	8374.00	0.00
8476.00	0.00	9122.00	12219.00	7995.00	740.00	17229.00	5457.00	10260.00	4397.00	268.46	9043.00	11931.00	7782.00	914.00	15921.00	5347.00	9674.00	4143.00	8271.00
5270.00	9122.00	0.00	4135.00	11894.00	8946.00	9154.00	9827.00	11198.00	9953.00	8766.00	314.23	3846.00	11273.00	8435.00	7847.00	9351.00	10565.00	9478.00	5271.00
7240.00	12219.00	4135.00	0.00	13990.00	12052.00	5608.00	11923.00	13046.00	13016.00	11872.00	3722.00	323.58	13369.00	11541.00	5004.00	11447.00	12413.00	12541.00	7218.00
7192.00	7995.00	11894.00	13990.00	0.00	7529.00	15572.00	3489.00	7137.00	4515.00	301.93	11337.00	13554.00	799.00	7410.00	14265.00	3681.00	6732.00	4006.00	7033.00
8079.00	740.00	8946.00	12052.00	7529.00	0.00	16913.00	4935.00	9616.00	3887.00	608.00	339.79	11615.00	7272.00	522.00	15606.00	4603.00	9029.00	3634.00	7883.00
9231.00	17229.00	9154.00	5608.00	15572.00	16913.00	0.00	16845.00	11644.00	18103.00	16959.00	8815.00	5816.00	15457.00	16628.00	337.16	16369.00	11053.00	17628.00	9306.00
7638.00	5457.00	9827.00	11923.00	3489.00	4935.00	16845.00	0.00	8467.00	1981.00	5340.00	9244.00	320.89	3012.00	4790.00	15301.00	444.00	7951.00	1435.00	7464.00
6767.00	10260.00	11198.00	13046.00	7137.00	9616.00	11644.00	8467.00	0.00	9893.00	9863.00	10737.00	12670.00	6917.00	9485.00	10202.00	8123.00	334.71	9379.00	6705.00
8879.00	4397.00	9953.00	13016.00	4515.00	3887.00	18103.00	1981.00	9893.00	0.00	4143.00	9524.00	12404.00	4156.00	3642.00	16394.00	1919.00	9094.00	278.50	8560.00
7932.00	268.46	8766.00	11872.00	301.93	608.00	16959.00	5340.00	9863.00	4143.00	0.00	8517.00	11405.00	7655.00	721.00	15395.00	5194.00	9148.00	4017.00	7745.00
4862.00	9043.00	314.23	3722.00	11337.00	339.79	8815.00	9244.00	10737.00	9524.00	8517.00	0.00	3431.00	10861.00	8359.00	7432.00	8940.00	10151.00	9375.00	4894.00
6919.00	11931.00	3846.00	323.58	13554.00	11615.00	5816.00	320.89	12670.00	12404.00	11405.00	3431.00	0.00	13091.00	11263.00	4510.00	11169.00	12113.00	12263.00	6918.00
6844.00	7782.00	11273.00	13369.00	799.00	7272.00	15457.00	3012.00	6917.00	4156.00	7655.00	10861.00	13091.00	0.00	7200.00	13927.00	3122.00	6394.00	3755.00	6695.00
7553.00	914.00	8435.00	11541.00	7410.00	522.00	16628.00	4790.00	9485.00	3642.00	721.00	8359.00	11263.00	7200.00	0.00	15079.00	4472.00	8786.00	3538.00	7374.00
7923.00	15921.00	7847.00	5004.00	14265.00	15606.00	337.16	15301.00	10202.00	16394.00	15395.00	7432.00	4510.00	13927.00	15079.00	0.00	15056.00	9740.00	16314.00	7992.00
7162.00	5347.00	9351.00	11447.00	3681.00	4603.00	16369.00	444.00	8123.00	1919.00	5194.00	8940.00	11169.00	3122.00	4472.00	15056.00	0.00	7492.00	1502.00	7020.00
6135.00	9674.00	10565.00	12413.00	6732.00	9029.00	11053.00	7951.00	334.71	9094.00	9148.00	10151.00	12113.00	6394.00	8786.00	9740.00	7492.00	0.00	8854.00	6118.00
8374.00	4143.00	9478.00	12541.00	4006.00	3634.00	17628.00	1435.00	9379.00	278.50	4017.00	9375.00	12263.00	3755.00	3538.00	16314.00	1502.00	8854.00	0.00	8107.00
0.00	8271.00	5271.00	7218.00	7033.00	7883.00	9306.00	7464.00	6705.00	8560.00	7745.00	4894.00	6918.00	6695.00	7374.00	7992.00	7020.00	6118.00	8107.00	0.00
