StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C2	33.52487157179164	-112.06916549177107	6.71	100	0.112
C3	33.48176956488815	-112.1032804757348	5.83	100	0.097
C4	33.47957057746847	-112.15084952262725	7.55	100	0.126
C5	33.503547587735774	-112.01655535648636	6.05	100	0.101
C1	33.482845991119426	-112.12870580081287	6.68	100	0.111
C2	33.470547630942	-111.98530343036431	6.38	100	0.106
C3	33.50178244199219	-112.04248944682078	7.17	100	0.119
C4	33.41537082154135	-112.09927188504417	6.14	100	0.102
S2	33.52051864820127	-112.06914453164185	0.0	1	0.0
S3	33.47962261428059	-112.09876164265741	0.0	1	0.0
S4	33.478694429212915	-112.14576131598767	0.0	1	0.0
S5	33.50068748189058	-112.02047227564739	0.0	1	0.0
S1	33.48141748693901	-112.12379879061459	0.0	1	0.0
S2	33.47023457382731	-111.9904839729336	0.0	1	0.0
S3	33.49806080421158	-112.04518441747342	0.0	1	0.0
S4	33.41925520205268	-112.09692892018055	0.0	1	0.0
Tmax=120
