StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C6	33.421369619366914	-112.02253457006579	6.05	100	0.101
C1	33.43440730463747	-112.07905720690019	6.53	100	0.109
C2	33.509740466895444	-112.10764616423859	7.4	100	0.123
C3	33.48658115851994	-112.02122599696621	5.98	100	0.1
S6	33.425735346978946	-112.02709554993953	0.0	1	0.0
S1	33.44000621220364	-112.07723307853578	0.0	1	0.0
S2	33.50505490832903	-112.10355754269173	0.0	1	0.0
S3	33.48386213724767	-112.02734540016148	0.0	1	0.0
Tmax=120
