StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.52015851043144	-112.09968697749136	7.66	100	0.128
C2	33.42564612543983	-112.01359955576278	6.47	100	0.108
C3	33.52799697095408	-112.0355173456068	6.92	100	0.115
C1	33.51652929282448	-112.00815683787225	6.72	100	0.112
C2	33.42815921503836	-111.9952502518347	6.05	100	0.101
C3	33.52368369301677	-112.02766885416672	6.63	100	0.111
C4	33.52389497284982	-112.03294860460761	6.34	100	0.106
S1	33.51490615660462	-112.09673870673619	0.0	1	0.0
S2	33.42944150669585	-112.01883642068442	0.0	1	0.0
S3	33.522694911983315	-112.03833619436823	0.0	1	0.0
S1	33.51241046806385	-112.01303851768068	0.0	1	0.0
S2	33.43117506608104	-112.00116449464954	0.0	1	0.0
S3	33.51868676307154	-112.03119370702014	0.0	1	0.0
S4	33.51873144457824	-112.03611274727909	0.0	1	0.0
Tmax=120
