StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	28	30	10	10	0.057
C2	28	35	10	10	0.057
C3	28	55	10	10	0.057
C4	68	60	30	30	0.171
C5	30	30	10	10	0.057
C6	40	66	20	20	0.114
C7	65	82	10	10	0.057
C8	47	35	10	10	0.057
C9	15	80	10	10	0.057
C10	67	85	20	20	0.114
C11	66	55	10	10	0.057
C12	26	32	10	10	0.057
C13	10	40	30	30	0.171
C14	44	5	20	20	0.114
C15	50	40	50	50	0.286
C16	50	35	20	20	0.114
C17	5	45	10	10	0.057
C18	92	30	10	10	0.057
C19	38	70	10	10	0.057
C20	42	68	10	10	0.057
C21	48	30	10	10	0.057
C22	38	15	10	10	0.057
C23	75	55	20	20	0.114
C24	20	55	10	10	0.057
C25	22	75	30	30	0.171
C26	62	80	30	30	0.171
C27	15	75	20	20	0.114
C28	2	40	20	20	0.114
C29	50	30	10	10	0.057
C30	35	30	10	10	0.057
C31	45	30	10	10	0.057
C32	0	40	30	30	0.171
C33	35	32	10	10	0.057
C34	38	68	20	20	0.114
C35	33	35	10	10	0.057
C36	65	55	20	20	0.114
C37	40	69	20	20	0.114
C38	8	45	20	20	0.114
C39	55	85	20	20	0.114
C40	60	80	10	10	0.057
C41	23	52	10	10	0.057
C42	20	50	10	10	0.057
C43	0	45	20	20	0.114
C44	42	66	10	10	0.057
C45	90	35	10	10	0.057
C46	25	35	10	10	0.057
C47	30	52	20	20	0.114
C48	33	32	20	20	0.114
C49	87	30	10	10	0.057
C50	63	58	10	10	0.057
C51	60	85	30	30	0.171
C52	53	35	50	50	0.286
C53	88	35	20	20	0.114
C54	45	35	10	10	0.057
C55	20	80	40	40	0.229
C56	88	30	10	10	0.057
C57	35	69	10	10	0.057
C58	48	40	10	10	0.057
C59	25	52	40	40	0.229
C60	85	35	30	30	0.171
C61	10	35	20	20	0.114
C62	72	55	10	10	0.057
C63	30	50	10	10	0.057
C64	25	55	10	10	0.057
C65	42	15	10	10	0.057
C66	95	35	20	20	0.114
C67	28	52	20	20	0.114
C68	47	40	10	10	0.057
C69	8	40	40	40	0.229
C70	58	75	20	20	0.114
C71	23	55	20	20	0.114
C72	30	35	10	10	0.057
C73	60	55	10	10	0.057
C74	42	65	10	10	0.057
C75	30	32	30	30	0.171
C76	45	65	20	20	0.114
C77	18	75	20	20	0.114
C78	45	70	30	30	0.171
C79	5	35	10	10	0.057
C80	70	58	20	20	0.114
Tmax=175
