StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	47	47	13	13	0.073
C2	65	85	40	40	0.226
C3	49	58	10	10	0.056
C4	31	52	27	27	0.153
C5	23	3	7	7	0.04
C6	38	15	10	10	0.056
C7	42	10	40	40	0.226
C8	87	30	10	10	0.056
C9	30	60	16	16	0.09
C10	0	40	20	20	0.113
C11	45	65	9	9	0.051
C12	90	35	10	10	0.056
C13	26	35	15	15	0.085
C14	72	35	30	30	0.169
C15	15	60	17	17	0.096
C16	60	80	10	10	0.056
C17	63	23	2	2	0.011
C18	37	31	14	14	0.079
C19	45	30	17	17	0.096
C20	67	85	20	20	0.113
C21	15	80	10	10	0.056
C22	65	55	14	14	0.079
C23	20	85	20	20	0.113
C24	22	85	10	10	0.056
C25	55	85	20	20	0.113
C26	35	5	20	20	0.113
C27	5	5	16	16	0.09
C28	22	75	30	30	0.169
C29	20	20	8	8	0.045
C30	50	35	19	19	0.107
C31	57	29	18	18	0.102
C32	95	30	30	30	0.169
C33	49	42	13	13	0.073
C34	30	25	23	23	0.13
C35	42	5	10	10	0.056
C36	35	69	23	23	0.13
C37	40	5	10	10	0.056
C38	2	45	10	10	0.056
C39	12	24	13	13	0.073
C40	55	82	10	10	0.056
C41	64	42	9	9	0.051
C42	42	12	10	10	0.056
C43	20	80	40	40	0.226
C44	10	20	19	19	0.107
C45	85	25	10	10	0.056
C46	95	35	20	20	0.113
C47	20	50	5	5	0.028
C48	65	20	6	6	0.034
C49	55	80	10	10	0.056
C50	5	45	10	10	0.056
C51	92	30	10	10	0.056
C52	2	60	5	5	0.028
C53	60	12	31	31	0.175
C54	56	37	6	6	0.034
C55	55	20	19	19	0.107
C56	67	5	25	25	0.141
C57	6	68	30	30	0.169
C58	63	65	8	8	0.045
C59	37	47	6	6	0.034
C60	65	35	3	3	0.017
C61	8	45	20	20	0.113
C62	10	40	30	30	0.169
C63	44	5	20	20	0.113
C64	60	85	30	30	0.169
C65	20	82	10	10	0.056
C66	8	56	27	27	0.153
C67	10	35	20	20	0.113
C68	62	80	30	30	0.169
C69	40	15	40	40	0.226
C70	53	43	14	14	0.079
C71	38	5	30	30	0.169
C72	55	60	16	16	0.09
C73	15	75	20	20	0.113
C74	4	18	35	35	0.198
C75	15	10	20	20	0.113
C76	8	40	40	40	0.226
C77	88	30	10	10	0.056
C78	31	67	3	3	0.017
C79	65	82	10	10	0.056
C80	27	43	9	9	0.051
Tmax=177
