StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	20	20	8	8	0.058
C2	56	39	36	36	0.259
C3	4	18	35	35	0.252
C4	37	31	14	14	0.101
C5	53	12	6	6	0.043
C6	12	24	13	13	0.094
C7	20	26	9	9	0.065
C8	24	58	19	19	0.137
C9	65	35	3	3	0.022
C10	47	16	25	25	0.18
C11	41	37	16	16	0.115
C12	49	42	13	13	0.094
C13	11	14	18	18	0.129
C14	46	13	8	8	0.058
C15	56	37	6	6	0.043
C16	6	38	16	16	0.115
C17	31	52	27	27	0.194
C18	23	3	7	7	0.05
C19	10	43	9	9	0.065
C20	32	12	7	7	0.05
C21	30	5	8	8	0.058
C22	50	35	19	19	0.137
C23	60	12	31	31	0.223
C24	27	43	9	9	0.065
C25	18	24	22	22	0.158
C26	63	23	2	2	0.014
C27	31	67	3	3	0.022
C28	30	25	23	23	0.165
C29	17	34	3	3	0.022
C30	37	56	5	5	0.036
C31	42	7	5	5	0.036
C32	21	24	28	28	0.201
C33	26	52	9	9	0.065
C34	6	68	30	30	0.216
C35	30	60	16	16	0.115
C36	65	20	6	6	0.043
C37	14	37	11	11	0.079
C38	28	18	26	26	0.187
C39	2	48	1	1	0.007
C40	67	5	25	25	0.18
C41	55	54	26	26	0.187
C42	15	19	1	1	0.007
C43	5	5	16	16	0.115
C44	45	30	17	17	0.122
C45	35	69	23	23	0.165
C46	20	65	12	12	0.086
C47	25	30	3	3	0.022
C48	49	58	10	10	0.072
C49	44	17	9	9	0.065
C50	62	77	20	20	0.144
C51	35	40	16	16	0.115
C52	55	5	29	29	0.209
C53	45	65	9	9	0.065
C54	61	52	3	3	0.022
C55	47	47	13	13	0.094
C56	15	77	9	9	0.065
C57	37	47	6	6	0.043
C58	35	17	7	7	0.05
C59	20	50	5	5	0.036
C60	64	42	9	9	0.065
C61	49	11	18	18	0.129
C62	8	56	27	27	0.194
C63	40	25	9	9	0.065
C64	55	45	13	13	0.094
C65	53	43	14	14	0.101
C66	25	21	12	12	0.086
C67	57	48	23	23	0.165
C68	45	20	11	11	0.079
C69	55	20	19	19	0.137
C70	13	52	36	36	0.259
C71	15	10	20	20	0.144
C72	15	30	26	26	0.187
C73	40	60	21	21	0.151
C74	5	30	2	2	0.014
C75	2	60	5	5	0.036
C76	16	22	41	41	0.295
C77	26	27	27	27	0.194
C78	27	69	10	10	0.072
C79	57	29	18	18	0.129
C80	15	47	16	16	0.115
Tmax=139
