StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	47	47	13	13	0.074
C2	88	30	10	10	0.057
C3	57	29	18	18	0.103
C4	38	5	30	30	0.171
C5	8	56	27	27	0.154
C6	60	12	31	31	0.177
C7	40	5	10	10	0.057
C8	6	68	30	30	0.171
C9	92	30	10	10	0.057
C10	2	45	10	10	0.057
C11	42	5	10	10	0.057
C12	0	40	20	20	0.114
C13	63	65	8	8	0.046
C14	38	15	10	10	0.057
C15	95	30	30	30	0.171
C16	57	48	23	23	0.131
C17	65	82	10	10	0.057
C18	20	85	20	20	0.114
C19	55	54	26	26	0.149
C20	35	5	20	20	0.114
C21	65	55	14	14	0.08
C22	20	80	40	40	0.229
C23	18	80	10	10	0.057
C24	55	82	10	10	0.057
C25	65	85	40	40	0.229
C26	95	35	20	20	0.114
C27	15	60	17	17	0.097
C28	15	10	20	20	0.114
C29	35	69	23	23	0.131
C30	88	35	20	20	0.114
C31	49	42	13	13	0.074
C32	85	35	30	30	0.171
C33	20	20	8	8	0.046
C34	72	35	30	30	0.171
C35	45	30	17	17	0.097
C36	64	42	9	9	0.051
C37	40	60	21	21	0.12
C38	37	31	14	14	0.08
C39	22	75	30	30	0.171
C40	26	35	15	15	0.086
C41	5	35	10	10	0.057
C42	26	52	9	9	0.051
C43	44	5	20	20	0.114
C44	10	20	19	19	0.109
C45	22	85	10	10	0.057
C46	18	75	20	20	0.114
C47	24	58	19	19	0.109
C48	20	82	10	10	0.057
C49	0	45	20	20	0.114
C50	49	58	10	10	0.057
C51	5	5	16	16	0.091
C52	31	67	3	3	0.017
C53	87	30	10	10	0.057
C54	40	15	40	40	0.229
C55	56	37	6	6	0.034
C56	15	80	10	10	0.057
C57	55	60	16	16	0.091
C58	35	40	16	16	0.091
C59	8	45	20	20	0.114
C60	50	35	19	19	0.109
C61	15	75	20	20	0.114
C62	41	37	16	16	0.091
C63	63	23	2	2	0.011
C64	67	85	20	20	0.114
C65	30	25	23	23	0.131
C66	42	15	10	10	0.057
C67	53	43	14	14	0.08
C68	25	30	3	3	0.017
C69	67	5	25	25	0.143
C70	27	43	9	9	0.051
C71	60	85	30	30	0.171
C72	61	52	3	3	0.017
C73	60	80	10	10	0.057
C74	4	18	35	35	0.2
C75	20	50	5	5	0.029
C76	31	52	27	27	0.154
C77	85	25	10	10	0.057
C78	2	60	5	5	0.029
C79	90	35	10	10	0.057
C80	65	20	6	6	0.034
Tmax=175
