StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	46	13	8	8	0.058
C2	45	10	18	18	0.129
C3	30	25	23	23	0.165
C4	45	65	9	9	0.065
C5	60	12	31	31	0.223
C6	25	24	20	20	0.144
C7	47	47	13	13	0.094
C8	50	35	19	19	0.137
C9	53	43	14	14	0.101
C10	20	20	8	8	0.058
C11	35	17	7	7	0.05
C12	37	31	14	14	0.101
C13	14	37	11	11	0.079
C14	27	69	10	10	0.072
C15	55	5	29	29	0.209
C16	26	27	27	27	0.194
C17	40	60	21	21	0.151
C18	11	31	7	7	0.05
C19	67	5	25	25	0.18
C20	55	60	16	16	0.115
C21	15	60	17	17	0.122
C22	17	34	3	3	0.022
C23	37	56	5	5	0.036
C24	63	23	2	2	0.014
C25	65	35	3	3	0.022
C26	15	10	20	20	0.144
C27	63	65	8	8	0.058
C28	31	67	3	3	0.022
C29	45	20	11	11	0.079
C30	55	45	13	13	0.094
C31	6	38	16	16	0.115
C32	56	37	6	6	0.043
C33	6	68	30	30	0.216
C34	11	14	18	18	0.129
C35	16	22	41	41	0.295
C36	65	55	14	14	0.101
C37	2	48	1	1	0.007
C38	23	3	7	7	0.05
C39	45	30	17	17	0.122
C40	5	5	16	16	0.115
C41	40	25	9	9	0.065
C42	19	21	10	10	0.072
C43	56	39	36	36	0.259
C44	53	12	6	6	0.043
C45	4	18	35	35	0.252
C46	32	12	7	7	0.05
C47	13	52	36	36	0.259
C48	25	21	12	12	0.086
C49	30	60	16	16	0.115
C50	20	65	12	12	0.086
C51	44	17	9	9	0.065
C52	47	16	25	25	0.18
C53	20	50	5	5	0.036
C54	49	42	13	13	0.094
C55	53	52	11	11	0.079
C56	49	73	25	25	0.18
C57	65	20	6	6	0.043
C58	12	24	13	13	0.094
C59	15	19	1	1	0.007
C60	49	58	10	10	0.072
C61	55	54	26	26	0.187
C62	24	12	5	5	0.036
C63	5	30	2	2	0.014
C64	15	47	16	16	0.115
C65	25	30	3	3	0.022
C66	42	7	5	5	0.036
C67	20	40	12	12	0.086
C68	36	26	18	18	0.129
C69	37	47	6	6	0.043
C70	15	77	9	9	0.065
C71	18	18	17	17	0.122
C72	22	22	2	2	0.014
C73	28	18	26	26	0.187
C74	24	58	19	19	0.137
C75	35	69	23	23	0.165
C76	26	35	15	15	0.108
C77	2	60	5	5	0.036
C78	62	77	20	20	0.144
C79	64	42	9	9	0.065
C80	10	20	19	19	0.137
Tmax=139
