StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	49	11	18	18	0.131
C2	11	31	7	7	0.051
C3	19	21	10	10	0.073
C4	57	29	18	18	0.131
C5	45	65	9	9	0.066
C6	26	27	27	27	0.197
C7	6	68	30	30	0.219
C8	63	65	8	8	0.058
C9	62	77	20	20	0.146
C10	36	26	18	18	0.131
C11	30	60	16	16	0.117
C12	37	56	5	5	0.036
C13	32	12	7	7	0.051
C14	12	24	13	13	0.095
C15	22	22	2	2	0.015
C16	65	55	14	14	0.102
C17	47	47	13	13	0.095
C18	26	35	15	15	0.109
C19	13	52	36	36	0.263
C20	65	35	3	3	0.022
C21	49	73	25	25	0.182
C22	63	23	2	2	0.015
C23	47	16	25	25	0.182
C24	10	43	9	9	0.066
C25	18	18	17	17	0.124
C26	16	22	41	41	0.299
C27	15	10	20	20	0.146
C28	49	58	10	10	0.073
C29	8	56	27	27	0.197
C30	53	43	14	14	0.102
C31	20	65	12	12	0.088
C32	25	24	20	20	0.146
C33	2	60	5	5	0.036
C34	35	40	16	16	0.117
C35	57	68	15	15	0.109
C36	20	40	12	12	0.088
C37	67	5	25	25	0.182
C38	15	19	1	1	0.007
C39	60	12	31	31	0.226
C40	50	35	19	19	0.139
C41	44	17	9	9	0.066
C42	20	26	9	9	0.066
C43	55	54	26	26	0.19
C44	56	39	36	36	0.263
C45	20	50	5	5	0.036
C46	65	20	6	6	0.044
C47	5	5	16	16	0.117
C48	46	13	8	8	0.058
C49	28	18	26	26	0.19
C50	2	48	1	1	0.007
C51	17	34	3	3	0.022
C52	35	17	7	7	0.051
C53	40	20	8	8	0.058
C54	26	52	9	9	0.066
C55	4	18	35	35	0.255
C56	55	5	29	29	0.212
C57	35	69	23	23	0.168
C58	45	20	11	11	0.08
C59	49	42	13	13	0.095
C60	37	31	14	14	0.102
C61	61	52	3	3	0.022
C62	20	20	8	8	0.058
C63	57	48	23	23	0.168
C64	27	43	9	9	0.066
C65	40	60	21	21	0.153
C66	21	24	28	28	0.204
C67	25	21	12	12	0.088
C68	18	24	22	22	0.161
C69	55	20	19	19	0.139
C70	45	30	17	17	0.124
C71	42	7	5	5	0.036
C72	37	47	6	6	0.044
C73	56	37	6	6	0.044
C74	15	60	17	17	0.124
C75	31	67	3	3	0.022
C76	14	37	11	11	0.08
C77	24	58	19	19	0.139
C78	40	25	9	9	0.066
C79	6	38	16	16	0.117
C80	10	20	19	19	0.139
Tmax=137
