StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	56	39	36	36	0.259
C2	2	60	5	5	0.036
C3	20	65	12	12	0.086
C4	53	43	14	14	0.101
C5	36	26	18	18	0.129
C6	37	31	14	14	0.101
C7	57	29	18	18	0.129
C8	25	24	20	20	0.144
C9	21	24	28	28	0.201
C10	2	48	1	1	0.007
C11	26	35	15	15	0.108
C12	35	17	7	7	0.05
C13	14	37	11	11	0.079
C14	40	25	9	9	0.065
C15	57	48	23	23	0.165
C16	24	58	19	19	0.137
C17	13	52	36	36	0.259
C18	65	20	6	6	0.043
C19	57	68	15	15	0.108
C20	42	7	5	5	0.036
C21	64	42	9	9	0.065
C22	55	45	13	13	0.094
C23	18	24	22	22	0.158
C24	27	69	10	10	0.072
C25	22	22	2	2	0.014
C26	20	20	8	8	0.058
C27	10	43	9	9	0.065
C28	63	65	8	8	0.058
C29	67	5	25	25	0.18
C30	37	47	6	6	0.043
C31	20	50	5	5	0.036
C32	16	22	41	41	0.295
C33	62	77	20	20	0.144
C34	22	27	11	11	0.079
C35	4	18	35	35	0.252
C36	5	30	2	2	0.014
C37	65	55	14	14	0.101
C38	15	47	16	16	0.115
C39	55	60	16	16	0.115
C40	30	5	8	8	0.058
C41	30	60	16	16	0.115
C42	15	60	17	17	0.122
C43	15	10	20	20	0.144
C44	46	13	8	8	0.058
C45	26	27	27	27	0.194
C46	17	34	3	3	0.022
C47	53	52	11	11	0.079
C48	50	35	19	19	0.137
C49	53	12	6	6	0.043
C50	55	54	26	26	0.187
C51	31	52	27	27	0.194
C52	12	24	13	13	0.094
C53	61	52	3	3	0.022
C54	6	68	30	30	0.216
C55	32	12	7	7	0.05
C56	63	23	2	2	0.014
C57	41	37	16	16	0.115
C58	31	67	3	3	0.022
C59	20	40	12	12	0.086
C60	5	5	16	16	0.115
C61	49	58	10	10	0.072
C62	18	18	17	17	0.122
C63	47	47	13	13	0.094
C64	15	77	9	9	0.065
C65	60	12	31	31	0.223
C66	15	19	1	1	0.007
C67	11	14	18	18	0.129
C68	10	20	19	19	0.137
C69	56	37	6	6	0.043
C70	49	11	18	18	0.129
C71	65	35	3	3	0.022
C72	11	31	7	7	0.05
C73	30	25	23	23	0.165
C74	25	21	12	12	0.086
C75	47	16	25	25	0.18
C76	23	3	7	7	0.05
C77	49	73	25	25	0.18
C78	24	12	5	5	0.036
C79	37	56	5	5	0.036
C80	20	26	9	9	0.065
Tmax=139
