StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C1	33.49853373609952	-112.0120659721856	5.85	100	0.097
C2	33.435491290541115	-112.0449792155693	6.05	100	0.101
C3	33.42942779899132	-112.02898998544029	6.79	100	0.113
C4	33.45264916111575	-112.1521906856699	6.45	100	0.107
S1	33.49521531932885	-112.01774943182139	0.0	1	0.0
S2	33.44032539944819	-112.04881053710521	0.0	1	0.0
S3	33.43369384825548	-112.0336836147518	0.0	1	0.0
S4	33.45370601718632	-112.1453824879547	0.0	1	0.0
Tmax=120
