StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C3	33.41077128555599	-112.01723100483258	6.2	100	0.103
C1	33.480222029354174	-112.13924769955884	7.4	100	0.123
C2	33.48787753627227	-112.14779478739891	6.68	100	0.111
C3	33.49635489301124	-112.00322312413313	6.16	100	0.103
C4	33.3953134040404	-112.04932328725891	6.94	100	0.116
C5	33.455454981004564	-112.0141923702126	7.41	100	0.123
C6	33.41050426876842	-112.0478430546225	6.15	100	0.103
S3	33.41533179286622	-112.0215118416901	0.0	1	0.0
S1	33.47881127876067	-112.13252936446902	0.0	1	0.0
S2	33.486010923443956	-112.14123614256322	0.0	1	0.0
S3	33.49350684707081	-112.00925903254662	0.0	1	0.0
S4	33.40096674347098	-112.05088996780847	0.0	1	0.0
S5	33.45670361486229	-112.02095442344796	0.0	1	0.0
S6	33.41603360260948	-112.04994704933856	0.0	1	0.0
Tmax=120
