0.0	986.0	999.0	788.0	741.0	933.0	987.0	954.0	814.0	672.0	883.0	0.0
986.0	0.0	1365.0	409.0	1495.0	95.0	94.0	1320.0	501.0	1368.0	152.0	1007.0
999.0	1365.0	0.0	1069.0	878.0	1401.0	1395.0	124.0	1161.0	867.0	1351.0	1096.0
788.0	409.0	1069.0	0.0	1276.0	435.0	397.0	999.0	92.0	1149.0	383.0	799.0
741.0	1495.0	878.0	1276.0	0.0	1434.0	1489.0	855.0	1316.0	73.0	1385.0	799.0
933.0	95.0	1401.0	435.0	1434.0	0.0	183.0	1360.0	499.0	1319.0	103.0	957.0
987.0	94.0	1395.0	397.0	1489.0	183.0	0.0	1318.0	499.0	1360.0	137.0	999.0
954.0	1320.0	124.0	999.0	855.0	1360.0	1318.0	0.0	1163.0	861.0	1326.0	1029.0
814.0	501.0	1161.0	92.0	1316.0	499.0	499.0	1163.0	0.0	1127.0	393.0	777.0
672.0	1368.0	867.0	1149.0	73.0	1319.0	1360.0	861.0	1127.0	0.0	1311.0	725.0
883.0	152.0	1351.0	383.0	1385.0	103.0	137.0	1326.0	393.0	1311.0	0.0	898.0
0.0	1007.0	1096.0	799.0	799.0	957.0	999.0	1029.0	777.0	725.0	898.0	0.0
