StringID	x	y	profit	demand	 decayR
D0	33.465494239234175	-112.06887842234077	0	0	0
C3	33.5286821782624	-112.0349949035732	7.6	100	0.127
C5	33.48985897413935	-112.11924578450679	6.68	100	0.111
C1	33.491969795175855	-111.99337400929782	7.29	100	0.121
C2	33.4986062158388	-112.04515834657565	5.8	100	0.097
C3	33.429500173645195	-112.00725080293994	6.49	100	0.108
C4	33.42446351852977	-112.02011306476034	7.38	100	0.123
C5	33.47119038362235	-112.01233053246608	6.94	100	0.116
S3	33.52338420233685	-112.0378246958884	0.0	1	0.0
S5	33.486948257106384	-112.11325306400964	0.0	1	0.0
S1	33.48972228299074	-111.99976052144025	0.0	1	0.0
S2	33.493624123461395	-112.04871202665052	0.0	1	0.0
S3	33.43282978336118	-112.01292067902983	0.0	1	0.0
S4	33.42858550083762	-112.02498609067422	0.0	1	0.0
S5	33.47049596376592	-112.01920614430611	0.0	1	0.0
Tmax=120
