StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	52	75	10	10	0.081
C2	45	70	30	30	0.242
C3	62	69	10	10	0.081
C4	60	66	10	10	0.081
C5	42	65	10	10	0.081
C6	16	42	20	20	0.161
C7	58	70	20	20	0.161
C8	34	60	20	20	0.161
C9	28	70	10	10	0.081
C10	35	66	10	10	0.081
C11	35	69	10	10	0.081
C12	25	85	20	20	0.161
C13	22	75	30	30	0.242
C14	22	85	10	10	0.081
C15	20	80	40	40	0.323
C16	20	55	10	10	0.081
C17	32	20	10	10	0.081
C18	36	40	10	10	0.081
C19	48	30	10	10	0.081
C20	75	55	20	20	0.161
Tmax=186.0
