StringID	x	y	profit	demand	delayRatio
D0	35	35	0	0	0.0
C1	12	24	13	13	0.102
C2	24	58	19	19	0.15
C3	27	69	10	10	0.079
C4	15	77	9	9	0.071
C5	62	77	20	20	0.157
C6	49	73	25	25	0.197
C7	67	5	25	25	0.197
C8	56	39	36	36	0.283
C9	37	47	6	6	0.047
C10	37	56	5	5	0.039
C11	57	68	15	15	0.118
C12	47	16	25	25	0.197
C13	44	17	9	9	0.071
C14	46	13	8	8	0.063
C15	49	11	18	18	0.142
C16	49	42	13	13	0.102
C17	53	43	14	14	0.11
C18	61	52	3	3	0.024
C19	57	48	23	23	0.181
C20	56	37	6	6	0.047
Tmax=190.5
