StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	45	68	15	15	0.231
C2	45	70	20	20	0.308
C3	42	66	10	10	0.154
C4	42	68	10	10	0.154
C5	42	65	30	30	0.462
C6	40	69	10	10	0.154
C7	40	66	10	10	0.154
C8	38	68	20	20	0.308
C9	38	70	10	10	0.154
C10	35	66	50	50	0.769
C11	35	69	10	10	0.154
C12	25	85	20	20	0.308
C13	22	75	30	30	0.462
C14	22	85	10	10	0.154
C15	20	80	30	30	0.462
C16	20	85	40	40	0.615
C17	18	75	10	10	0.154
C18	15	75	20	20	0.308
C19	15	80	10	10	0.154
C20	30	50	10	10	0.154
Tmax=97.5
