StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	25	85	20	20	0.121
C2	22	75	30	30	0.182
C3	22	85	10	10	0.061
C4	20	80	40	40	0.242
C5	20	85	20	20	0.121
C6	18	75	20	20	0.121
C7	15	75	20	20	0.121
C8	15	80	10	10	0.061
C9	10	35	20	20	0.121
C10	10	40	30	30	0.182
C11	40	5	10	10	0.061
C12	40	15	40	40	0.242
C13	38	5	30	30	0.182
C14	38	15	10	10	0.061
C15	35	5	20	20	0.121
C16	95	30	30	30	0.182
C17	95	35	20	20	0.121
C18	92	30	10	10	0.061
C19	90	35	10	10	0.061
C20	88	30	10	10	0.061
Tmax=247.5
