StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	58	75	20	20	0.133
C2	55	80	10	10	0.067
C3	55	85	20	20	0.133
C4	55	82	10	10	0.067
C5	20	82	10	10	0.067
C6	18	80	10	10	0.067
C7	2	45	10	10	0.067
C8	42	5	10	10	0.067
C9	42	12	10	10	0.067
C10	72	35	30	30	0.2
C11	55	20	19	19	0.127
C12	25	30	3	3	0.02
C13	20	50	5	5	0.033
C14	55	60	16	16	0.107
C15	30	60	16	16	0.107
C16	50	35	19	19	0.127
C17	30	25	23	23	0.153
C18	15	10	20	20	0.133
C19	10	20	19	19	0.127
C20	15	60	17	17	0.113
Tmax=225.0
