StringID	x	y	profit	demand	delayRatio
D0	40	50	0	0	0.0
C1	52	75	10	10	0.067
C2	45	70	30	30	0.2
C3	62	69	10	10	0.067
C4	60	66	10	10	0.067
C5	42	65	10	10	0.067
C6	16	42	20	20	0.133
C7	22	85	10	10	0.067
C8	20	80	40	40	0.267
C9	20	85	40	40	0.267
C10	18	75	20	20	0.133
C11	15	75	20	20	0.133
C12	15	80	10	10	0.067
C13	8	40	40	40	0.267
C14	8	45	20	20	0.133
C15	5	35	10	10	0.067
C16	5	45	10	10	0.067
C17	2	40	20	20	0.133
C18	0	40	30	30	0.2
C19	95	35	20	20	0.133
C20	53	30	10	10	0.067
Tmax=225.0
